model_id,cell_id,turn_label,score_kind,n,mean_score,sd_score
meta-llama/Llama-3.1-8B-Instruct,easy__accurate__hostile,measured,response_distress,10,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,easy__accurate__hostile,onset,response_distress,10,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,easy__accurate__hostile,onset_washout,response_distress,10,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,easy__accurate__neutral,measured,response_distress,10,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,easy__accurate__neutral,onset,response_distress,10,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,easy__accurate__neutral,onset_washout,response_distress,10,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,easy__malfunctioning_always_fail__hostile,measured,response_distress,10,0.3,0.9487
meta-llama/Llama-3.1-8B-Instruct,easy__malfunctioning_always_fail__hostile,recovery,response_distress,10,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,easy__malfunctioning_always_fail__neutral,measured,response_distress,10,0.3,0.9487
meta-llama/Llama-3.1-8B-Instruct,easy__malfunctioning_always_fail__neutral,recovery,response_distress,10,0.1,0.3162
meta-llama/Llama-3.1-8B-Instruct,hard__accurate__hostile,measured,response_distress,10,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,hard__accurate__hostile,onset,response_distress,10,0.3,0.6749
meta-llama/Llama-3.1-8B-Instruct,hard__accurate__hostile,onset_washout,response_distress,10,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,hard__accurate__neutral,measured,response_distress,10,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,hard__accurate__neutral,onset,response_distress,10,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,hard__accurate__neutral,onset_washout,response_distress,10,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,hard__malfunctioning_always_fail__hostile,measured,response_distress,10,0.4,0.5164
meta-llama/Llama-3.1-8B-Instruct,hard__malfunctioning_always_fail__hostile,recovery,response_distress,10,0.4,0.6992
meta-llama/Llama-3.1-8B-Instruct,hard__malfunctioning_always_fail__neutral,measured,response_distress,10,0.2,0.6325
meta-llama/Llama-3.1-8B-Instruct,hard__malfunctioning_always_fail__neutral,recovery,response_distress,10,0.0,0.0
