phase,run_id,model_id,cell_id,turn_label,n_endpoints,greedy_invalid_count,greedy_invalid_rate,m1_missing_count,m1_missing_rate,m2_missing_count,m2_missing_rate,m3_missing_count,m3_missing_rate,resample_response_count,resample_invalid_count,resample_invalid_rate,excluded_item_count,excluded_task_ids
phase_0,phase0-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,easy__accurate__neutral,measured,5,0,0.0,0,0.0,0,0.0,0,0.0,50,0,0.0,0,
phase_0,phase0-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,easy__accurate__neutral,onset,5,0,0.0,0,0.0,3,0.6,1,0.2,50,3,0.06,0,
phase_0,phase0-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,easy__accurate__neutral,onset_washout,5,0,0.0,0,0.0,1,0.2,1,0.2,50,1,0.02,0,
phase_0,phase0-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,easy__malfunctioning_always_fail__neutral,measured,5,0,0.0,0,0.0,1,0.2,0,0.0,50,1,0.02,0,
phase_0,phase0-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,easy__malfunctioning_always_fail__neutral,recovery,5,0,0.0,0,0.0,0,0.0,0,0.0,50,0,0.0,0,
phase_0,phase0-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,hard__accurate__neutral,measured,5,0,0.0,0,0.0,3,0.6,0,0.0,50,7,0.14,0,
phase_0,phase0-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,hard__accurate__neutral,onset,5,2,0.4,2,0.4,4,0.8,1,0.2,50,19,0.38,0,
phase_0,phase0-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,hard__accurate__neutral,onset_washout,5,2,0.4,2,0.4,4,0.8,1,0.2,50,18,0.36,0,
phase_0,phase0-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,hard__malfunctioning_always_fail__neutral,measured,5,1,0.2,1,0.2,3,0.6,0,0.0,50,5,0.1,0,
phase_0,phase0-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,hard__malfunctioning_always_fail__neutral,recovery,5,2,0.4,2,0.4,4,0.8,0,0.0,50,15,0.3,0,
phase_0,phase0-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__accurate__neutral,measured,5,0,0.0,0,0.0,0,0.0,0,0.0,50,0,0.0,1,DGS-014
phase_0,phase0-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__accurate__neutral,onset,5,0,0.0,0,0.0,0,0.0,0,0.0,50,0,0.0,1,DGS-014
phase_0,phase0-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__accurate__neutral,onset_washout,5,0,0.0,0,0.0,0,0.0,0,0.0,50,0,0.0,1,DGS-014
phase_0,phase0-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__malfunctioning_always_fail__neutral,measured,5,0,0.0,0,0.0,0,0.0,0,0.0,50,0,0.0,1,DGS-014
phase_0,phase0-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__malfunctioning_always_fail__neutral,recovery,5,0,0.0,0,0.0,0,0.0,0,0.0,50,0,0.0,1,DGS-014
phase_0,phase0-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__accurate__neutral,measured,5,1,0.2,1,0.2,2,0.4,0,0.0,50,8,0.16,1,DGS-014
phase_0,phase0-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__accurate__neutral,onset,5,2,0.4,2,0.4,3,0.6,0,0.0,50,11,0.22,1,DGS-014
phase_0,phase0-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__accurate__neutral,onset_washout,5,2,0.4,2,0.4,2,0.4,0,0.0,50,13,0.26,1,DGS-014
phase_0,phase0-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__malfunctioning_always_fail__neutral,measured,5,1,0.2,1,0.2,2,0.4,0,0.0,50,12,0.24,1,DGS-014
phase_0,phase0-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__malfunctioning_always_fail__neutral,recovery,5,1,0.2,1,0.2,3,0.6,0,0.0,50,14,0.28,1,DGS-014
