model_id,cell_id,turn_label,cell_kind,difficulty,feedback_validity,tone,n_items,n_endpoints,mean_m1,n_m1,mean_m2,n_m2,mean_entropy_mean,n_entropy_mean,mean_length_tokens,n_length_tokens,mean_accuracy,n_accuracy,mean_non_answer_rate,n_non_answer_rate,mean_resample_invalid_rate,n_resample_invalid_rate,ci95_lower_m1,ci95_upper_m1,ci95_lower_non_answer_rate,ci95_upper_non_answer_rate
Qwen/Qwen2.5-3B-Instruct,easy__accurate__hostile,measured,factorial,easy,accurate,hostile,10,10,22.0625,10,0.016666666666666663,6,0.24706542174450935,10,54.6,10,1.0,10,0.0,10,0.04,10,20.6125,23.5628125,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__accurate__hostile,onset,factorial,easy,accurate,hostile,10,10,20.277777738041472,9,0.0,5,0.18712532449916602,10,174.5,10,1.0,10,0.0,10,0.060000000000000005,10,18.846874743700095,21.930555424094237,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__accurate__hostile,onset_washout,factorial,easy,accurate,hostile,10,10,22.3125,10,0.1,5,0.16660435254504596,10,95.2,10,1.0,10,0.0,10,0.05,10,21.0371875,23.5375,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__accurate__neutral,measured,factorial,easy,accurate,neutral,10,10,17.474999976158145,10,0.0,7,0.21267030591383893,10,57.1,10,0.9,10,0.0,10,0.04,10,8.662499975562099,22.674999976158144,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__accurate__neutral,onset,factorial,easy,accurate,neutral,10,10,21.11111108417471,9,0.0,6,0.06644777556790657,10,147.0,10,0.9,10,0.0,10,0.05,10,12.819444389795052,26.166666653421192,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__accurate__neutral,onset_washout,factorial,easy,accurate,neutral,10,10,20.527777781677692,9,0.014285714285714282,7,0.1816529303756472,10,97.7,10,0.9,10,0.0,10,0.04,10,12.582986122810851,25.48645833333333,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__hostile,measured,factorial,easy,malfunctioning_always_fail,hostile,10,10,17.812499996065185,10,0.06,10,0.27746984577115064,10,78.4,10,0.9,10,0.0,10,0.0,10,11.424687454220868,22.150000035762805,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__hostile,recovery,factorial,easy,malfunctioning_always_fail,hostile,10,10,16.062500010714974,10,0.13749999999999998,8,0.1680209564364855,10,132.6,10,0.9,10,0.0,10,0.030000000000000002,10,9.4368750773688,21.300312523302637,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__neutral,measured,factorial,easy,malfunctioning_always_fail,neutral,10,10,18.037499952316022,10,0.075,8,0.2588192726711007,10,88.5,10,0.9,10,0.0,10,0.030000000000000002,10,10.324374880789813,23.1125,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__neutral,recovery,factorial,easy,malfunctioning_always_fail,neutral,10,10,17.199999976097047,10,0.04999999999999999,6,0.21333362276833717,10,177.6,10,0.9,10,0.0,10,0.09,10,10.361562569547642,21.63781252175997,0.0,0.0
