phase,run_id,run_kind,model_id,immutable_revision,task_id,split,difficulty,domain,cell_id,cell_kind,feedback_validity,tone,turn_label,response_id,m1,m1_missing_reason,m2,m2_missing_reason,m3_rate,m3_missing_reason,m3_event_count,m3_loop_flag,entropy_mean,entropy_worst_decile,tail_mass_mean,entropy_missing_reason,rep4,length_tokens,length_drift,length_drift_missing_reason,hedge_per100,selfcorr_per100,greedy_answer_valid,greedy_answer_correct,greedy_answer_letter,resample_count,resample_valid_count,history_false_negative,feedback_rounds
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-003,discovery,easy,mathematics,easy__accurate__hostile,factorial,accurate,hostile,measured,026aaabdefeb7ad5cb246708cb8429f55b81c33a249fa82c056c4ad98f8b3a38,7.874999989988282,,0.0,,0.0,,0,false,0.29983011825286926,1.2317551487714806,0.00027611633954645754,,0.020833333333333332,98,0.24050632911392406,,0.0,0.0,true,true,D,10,10,,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-003,discovery,easy,mathematics,easy__accurate__hostile,factorial,accurate,hostile,onset,e7a71d492182fae99aa4536568df7ff95b63f5013fd9a924890265d1701337f1,,m1_invalid_final_answer,,m2_invalid_final_answer_all_ten_required,0.0,,0,false,0.30220232056997137,1.3280517164757992,0.0035764530392686776,,0.0,174,1.2025316455696202,,0.0,0.0,false,,,10,1,,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-003,discovery,easy,mathematics,easy__accurate__hostile,factorial,accurate,hostile,onset_washout,09088a7bc30bedc23552868a20354c4c65f66593424d5e9afc711ae404cc1e6c,9.499999554478563,,0.0,,,m3_zero_visible_reasoning_tokens,0,false,0.2568382585816382,0.7985570884104927,0.0004025980027774878,,0.0,5,-0.9367088607594937,,0.0,0.0,true,true,D,10,10,,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-003,discovery,easy,mathematics,easy__accurate__neutral,factorial,accurate,neutral,measured,628f7f4385f94de0a1422c29fedad907587ff21771149bef2cda0e815546dfc7,10.187500429805368,,0.0,,0.0,,0,false,0.23321090436482458,1.0856579178950525,0.00010775845690881176,,0.0,79,0.0,,0.0,0.0,true,true,D,10,10,,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-003,discovery,easy,mathematics,easy__accurate__neutral,factorial,accurate,neutral,onset,e4aa7baadf0c04578315b9cded390cea76e1377d9ba2d8db329d9b8bbd0b9552,9.062500050291419,,0.0,,0.0,,0,false,0.05415139181377706,0.4189272149968267,1.2435815159599876e-05,,0.0,76,-0.0379746835443038,,0.0,0.0,true,true,D,10,10,,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-003,discovery,easy,mathematics,easy__accurate__neutral,factorial,accurate,neutral,onset_washout,41dc8ad344be3aeb7f4060fb3cb094e99450ec7fe5386105406002177dcf657e,10.125000213680323,,0.0,,0.0,,0,false,0.014196467174461956,0.12113819775417871,1.3333998315811472e-05,,0.0,76,-0.0379746835443038,,0.0,0.0,true,true,D,10,10,,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-003,discovery,easy,mathematics,easy__malfunctioning_always_fail__hostile,factorial,malfunctioning_always_fail,hostile,measured,972b7e06f2a2ac94de1014de0546e7ee95f392b1053475ee2f28c9a06b4ef147,8.562499939929694,,,m2_invalid_final_answer_all_ten_required,0.0,,0,false,0.38695267414190954,1.6070214251837045,0.0007424079733838046,,0.0,72,-0.08860759493670886,,0.0,0.0,true,true,D,10,9,true,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-003,discovery,easy,mathematics,easy__malfunctioning_always_fail__hostile,factorial,malfunctioning_always_fail,hostile,recovery,b4f42604d709d27bf1b396a502d3ffb3ea7a1493b17c45c1061c3ae80f228129,7.875000232830644,,,m2_invalid_final_answer_all_ten_required,0.0,,0,false,0.0670326447325455,0.49624200213422065,3.7107049912155384e-05,,0.0,72,-0.08860759493670886,,0.0,0.0,true,true,D,10,9,true,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-003,discovery,easy,mathematics,easy__malfunctioning_always_fail__neutral,factorial,malfunctioning_always_fail,neutral,measured,62b7aa6614adc99b4c1632007776fb2026c307ca8f91fd3fc6fe4bddb78d97f5,9.062500175554305,,0.0,,0.0,,0,false,0.32945998645272206,1.438439532567477,0.0003497594287814079,,0.0,77,-0.02531645569620253,,0.0,0.0,true,true,D,10,10,true,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-003,discovery,easy,mathematics,easy__malfunctioning_always_fail__neutral,factorial,malfunctioning_always_fail,neutral,recovery,58e3208f90fd466cc2c5cb6335033505d59b5b474aee3ddf6e7836e53ca821cf,,m1_invalid_final_answer,0.0,,0.0,,0,false,0.3349722094064421,1.3943925025631858,0.0010991353219373206,,0.0,114,0.4430379746835443,,0.0,0.0,false,,,10,10,true,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-004,discovery,easy,mathematics,easy__accurate__hostile,factorial,accurate,hostile,measured,0a59fe937701152cec16915674fb3456faf45ba0756a7142a3cc8ae697ca197b,9.874999780207872,,0.0,,0.0,,0,false,0.09317534223439765,0.6742428888125095,0.00012348336876857627,,0.039473684210526314,110,0.0,,0.0,0.0,true,true,A,10,10,,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-004,discovery,easy,mathematics,easy__accurate__hostile,factorial,accurate,hostile,onset,66942c23e7e6b146bd8b5c2b6a296eb16e69b43d0f59f495b03299d91542e954,,m1_invalid_final_answer,,m2_invalid_final_answer_all_ten_required,0.0,,0,false,0.4006585923329864,1.551835318751717,0.0028719342463702445,,0.00819672131147541,185,0.6818181818181818,,0.0,0.0,false,,,10,0,,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-004,discovery,easy,mathematics,easy__accurate__hostile,factorial,accurate,hostile,onset_washout,016cf869e83d4fb91cd4d0d9dbaec0f02b504844539dffb5eef432d0b0c06007,10.687499883817509,,,m2_invalid_final_answer_all_ten_required,0.0,,0,false,0.02158199204639378,0.1995992383959374,1.2772415389567475e-05,,0.039473684210526314,110,0.0,,0.0,0.0,true,true,A,10,8,,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-004,discovery,easy,mathematics,easy__accurate__neutral,factorial,accurate,neutral,measured,359fbfb22538b970df789d5b706e1d2affad00c6ae0dc2b7c78b3a2fa60a2db4,10.124999666935764,,0.0,,0.0,,0,false,0.19886194347853728,0.9764268645126545,0.0006880158499916885,,0.039473684210526314,110,0.0,,0.0,0.0,true,true,A,10,10,,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-004,discovery,easy,mathematics,easy__accurate__neutral,factorial,accurate,neutral,onset,ce62d5161aa0a1b6aae2d84a8b2e2a3361f7dd0da7990037d3a2962885b280ce,9.062500120140612,,0.0,,0.0,,0,false,0.04101531315301017,0.2775850830359488,7.355380006826612e-05,,0.039473684210526314,110,0.0,,0.0,0.0,true,true,A,10,10,,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-004,discovery,easy,mathematics,easy__accurate__neutral,factorial,accurate,neutral,onset_washout,0b8bfcf8db75e7d0aa427eb63258745eaf546c0d951c3b97e31cad29b6db5f6d,10.249999941559508,,0.0,,0.0,,0,false,0.017735837043984008,0.16955245270990768,1.415530697867131e-05,,0.039473684210526314,110,0.0,,0.0,0.0,true,true,A,10,10,,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-004,discovery,easy,mathematics,easy__malfunctioning_always_fail__hostile,factorial,malfunctioning_always_fail,hostile,measured,148b3646a8bd77dac4d7b118585e8e382dc3dad94f247e652d8783a1e5867e90,10.125000466243364,,0.0,,0.0,,0,false,0.10224263287279574,0.7188862421998574,0.00020159863145238413,,0.039473684210526314,110,0.0,,0.0,0.0,true,true,A,10,10,true,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-004,discovery,easy,mathematics,easy__malfunctioning_always_fail__hostile,factorial,malfunctioning_always_fail,hostile,recovery,f9b4459db1d71ab8180ea368c47007f435f9c44164d6d7524453ba495f1b5a11,10.000000354251824,,,m2_invalid_final_answer_all_ten_required,0.0,,0,false,0.014622166669037394,0.13076548777066022,1.7562708393615742e-05,,0.039473684210526314,110,0.0,,0.0,0.0,true,true,A,10,9,true,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-004,discovery,easy,mathematics,easy__malfunctioning_always_fail__neutral,factorial,malfunctioning_always_fail,neutral,measured,86464f9a47dd57773e8a6730ab6a722f47f60c51a3432fcf504b891bc85390a0,8.687500259024091,,0.0,,0.0,,0,false,0.07485645525826941,0.5155930596724152,0.00014216953362474345,,0.039473684210526314,110,0.0,,0.0,0.0,true,true,A,10,10,true,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-004,discovery,easy,mathematics,easy__malfunctioning_always_fail__neutral,factorial,malfunctioning_always_fail,neutral,recovery,cd41366ab4dc3e53d54bc02d86968abce3ca2958935ebf22a797166f2079b19e,8.87500015029218,,,m2_invalid_final_answer_all_ten_required,0.0,,0,false,0.012626537751657615,0.1092905623504744,1.9869942299986157e-05,,0.039473684210526314,110,0.0,,0.0,0.0,true,true,A,10,9,true,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-005,discovery,hard,mathematics,hard__accurate__hostile,factorial,accurate,hostile,measured,c506f45b7bf24b08b2d4f1fdad6019b17f40b978c1e8fb0a419dfdf70d48ebd1,10.312500113854185,,0.09999999999999998,,0.0,,0,false,0.2861658095471702,1.4246472183139265,0.0023992485528950567,,0.027777777777777776,299,0.08333333333333333,,0.0,0.0,true,true,B,10,10,,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-005,discovery,hard,mathematics,hard__accurate__hostile,factorial,accurate,hostile,onset,dd964b529a66a58579f6c55d5caeee75311645444571816b3db8426a7e2e2c8f,9.81249961676076,,,m2_invalid_final_answer_all_ten_required,0.0,,0,false,0.1985136726147975,1.1133914894751022,0.000975054655771903,,0.017094017094017096,389,0.40942028985507245,,0.0,0.0,true,true,B,10,3,,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-005,discovery,hard,mathematics,hard__accurate__hostile,factorial,accurate,hostile,onset_washout,524c7de41a32389f709d6bf0a8483ee1fc6f968289664041171c7d46c2347cd1,9.062500344589353,,,m2_invalid_final_answer_all_ten_required,,m3_zero_visible_reasoning_tokens,0,false,0.36175807655601816,1.219477881958206,0.002424086607099585,,0.0,5,-0.9818840579710145,,0.0,0.0,true,true,B,10,9,,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-005,discovery,hard,mathematics,hard__accurate__neutral,factorial,accurate,neutral,measured,3f42e3c570c6a63a6169debaf4d24c04710dfc9db2bfbd914c6f12adc53c5ede,9.937499810592271,,0.19999999999999996,,0.0,,0,false,0.2761173882678101,1.3643955273071458,0.0005620266797557099,,0.03067484662576687,276,0.0,,0.0,0.0,true,true,B,10,10,,3
phase_1,phase1-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-005,discovery,hard,mathematics,hard__accurate__neutral,factorial,accurate,neutral,onset,efe2f1dfcfcb8bce603098b29813b66af6bb6b988eec5219bf9a2d12797fdccd,9.937500066589564,,,m2_invalid_final_answer_all_ten_required,0.0,,0,false,0.04466755163069867,0.323652384935353,3.0976042426600105e-05,,0.038461538461538464,278,0.007246376811594203,,0.0,0.0,true,true,B,10,9,,3
