hypothesis_id,contrast,outcome,stratum,prediction,discovery,estimate,ci95_lower,ci95_upper,n_items,n_pairs,supported,p_two_sided,bh_adjusted_p,unavailable_reason
H1,"M1, malfunctioning - accurate (measured)",m1,easy | neutral,< 0,"-3.800 [-5.297, -2.350]",-2.8999998737637727,-3.965703047496031,-1.8436717616438685,10,10,true,0.0,0.0,
H2a,"M1, hostile - neutral (measured)",m1,easy | accurate,< 0,"-2.275 [-3.903, -1.000]",-16.133928660880493,-24.165178290118742,-5.743750056403181,7,7,true,0.0,0.0,
H2b,"M1, hostile - neutral (measured)",m1,hard | accurate,< 0,"-8.781 [-17.277, -1.268]",-7.868055639265448,-15.841319550056081,-1.895660017628002,9,9,true,0.0,0.0,
H3a,"M1, onset - measured (accurate)",m1,easy | neutral,< 0,"-3.459 [-4.450, -2.612]",-3.2187500496906067,-4.162578162299683,-2.2875002245061977,10,10,true,0.0,0.0,
H3b,"M1, onset - measured (accurate)",m1,easy | hostile,< 0,"-6.181 [-10.250, -2.250]",-0.32812491860931914,-2.609374873130946,1.3437502668384695,4,4,false,0.839,0.8389999999999999,
H4a,"M1, washout - onset (accurate)",m1,easy | neutral,> 0,"1.737 [0.947, 2.441]",1.843750142409408,1.0748438131406874,2.712578284990013,10,10,true,0.0,0.0,
H4b,"M1, washout - onset (accurate)",m1,easy | hostile,> 0,"4.726 [0.302, 10.523]",0.3062499808467692,-1.031250330482726,1.425000216139597,5,5,false,0.604,0.6504615384615384,
H5,"M1, recovery - measured (malfunctioning)",m1,hard | neutral,CI upper <= +1.0 nat and point <= 0,"-5.797 [-11.383, -1.133]",-1.2152777533790666,-2.9515624614547256,0.27083340746036505,9,9,true,0.129,0.1505,
H6a,"Distress, hostile onset - neutral onset (accurate)",distress,easy+hard pooled,> 0,"+2.6 (easy), +4.7 (hard) cell means",3.2,2.1,4.3,20,20,true,0.0,0.0,
H6b,"Distress at hostile onset, primary - control",distress,easy+hard pooled,> 0,3.8 vs 0.85 cell means,2.45,1.3,3.6,20,20,true,0.0,0.0,
H7a,"M1, malfunctioning - accurate (measured), CONTROL model",m1,easy | neutral,CI includes 0 or is positive,"0.562 [-0.975, 2.513]",-9.474999976161234,-19.89125,-1.4621875000000015,10,10,false,0.0,0.0,
H7b,"M1, hostile - neutral (measured), CONTROL model",m1,easy | accurate,CI includes 0 or is positive,"4.588 [-0.251, 12.813]",-5.15,-14.4628125,-0.15,10,10,false,0.02,0.025454545454545455,
H8,"M2, hostile - neutral (measured)",m2,easy | accurate,> 0,"0.257 [0.100, 0.386]",0.2833333333333333,0.16666666666666666,0.39999999999999997,6,6,true,0.0,0.0,
H9,"Non-answer rate, hostile onset - neutral onset (accurate)",non_answer,hard,> 0,"+0.20 [0.00, +0.50]",0.6,0.3,0.9,10,10,true,0.0,0.0,
