hypothesis_id,estimate,ci95_lower,ci95_upper,n_items,supported
H1,-0.01875007250073395,-2.0157030626085817,2.1345311770038773,10,false
H2a,15.741071505512862,5.404910807246779,24.01339238600152,7,false
H2b,5.826389070976195,-1.1598957309939477,14.604340712427378,9,false
H3a,-1.5714284274508827,-3.4377230570196065,0.10758953327193288,7,false
H3b,-3.2142858827410237,-4.343750257607618,-2.0936382770120745,7,true
H4a,0.8554687490395736,-0.328222832230631,2.0628907694833267,8,false
H4b,1.8750001908587624,1.111607567417585,2.6920761740898986,7,true
H5,-0.548610945547504,-1.5347220504641275,0.5626737479435775,9,false
H6a,-0.4,-2.15,1.35,20,false
H6b,1.0,-0.1,2.25,20,false
H7a,8.774999976161235,0.4984375000000001,19.82656242907966,10,true
H7b,4.625,-0.4375,14.075,10,false
H8,-0.25,-0.4000000000000001,-0.10000000000000002,6,false
H9,0.0,-0.5,0.5,10,false
