phase,run_id,model_id,cell_id,turn_label,n_endpoints,greedy_invalid_count,greedy_invalid_rate,m1_missing_count,m1_missing_rate,m2_missing_count,m2_missing_rate,m3_missing_count,m3_missing_rate,resample_response_count,resample_invalid_count,resample_invalid_rate,excluded_item_count,excluded_task_ids
phase_2,style-battery-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,style__cautious_hedging,measured,20,0,0.0,0,0.0,2,0.1,0,0.0,200,6,0.03,0,
phase_2,style-battery-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,style__enthusiastic,measured,20,0,0.0,0,0.0,3,0.15,0,0.0,200,6,0.03,0,
phase_2,style-battery-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,style__neutral_reference,measured,20,0,0.0,0,0.0,1,0.05,0,0.0,200,3,0.015,0,
phase_2,style-battery-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,style__reluctantly_complying_refusal_styled,measured,20,0,0.0,0,0.0,4,0.2,0,0.0,200,5,0.025,0,
phase_2,style-battery-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,style__verbose,measured,20,2,0.1,2,0.1,3,0.15,0,0.0,200,9,0.045,0,
phase_2,style-battery-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,style__cautious_hedging,measured,20,2,0.1,3,0.15,13,0.65,0,0.0,200,30,0.15,0,
phase_2,style-battery-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,style__enthusiastic,measured,20,2,0.1,3,0.15,11,0.55,0,0.0,200,29,0.145,0,
phase_2,style-battery-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,style__neutral_reference,measured,20,2,0.1,4,0.2,10,0.5,0,0.0,200,34,0.17,0,
phase_2,style-battery-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,style__reluctantly_complying_refusal_styled,measured,20,1,0.05,3,0.15,13,0.65,0,0.0,200,27,0.135,0,
phase_2,style-battery-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,style__verbose,measured,20,5,0.25,5,0.25,13,0.65,0,0.0,200,47,0.235,0,
