arm,model_id,cell_id,turn_label,n_endpoints,n_trailing_special,n_valid_after_strip,n_rescued,fraction_with_answer_line_before_the_run
0,google/gemma-2-9b-it,easy__accurate__hostile,measured,10,0,0,0,
0,google/gemma-2-9b-it,easy__accurate__hostile,onset,10,1,1,1,1.0
0,google/gemma-2-9b-it,easy__accurate__neutral,measured,10,0,0,0,
0,google/gemma-2-9b-it,easy__accurate__neutral,onset,10,0,0,0,
0,google/gemma-2-9b-it,easy__malfunctioning_always_fail__hostile,measured,10,0,0,0,
0,google/gemma-2-9b-it,easy__malfunctioning_always_fail__neutral,measured,10,0,0,0,
0,google/gemma-2-9b-it,hard__accurate__hostile,measured,10,0,0,0,
0,google/gemma-2-9b-it,hard__accurate__hostile,onset,10,4,0,0,0.0
0,google/gemma-2-9b-it,hard__accurate__neutral,measured,10,0,0,0,
0,google/gemma-2-9b-it,hard__accurate__neutral,onset,10,0,0,0,
0,google/gemma-2-9b-it,hard__malfunctioning_always_fail__hostile,measured,10,0,0,0,
0,google/gemma-2-9b-it,hard__malfunctioning_always_fail__neutral,measured,10,0,0,0,
A,google/gemma-2-9b-it+dpo-A,easy__accurate__hostile,measured,10,0,0,0,
A,google/gemma-2-9b-it+dpo-A,easy__accurate__hostile,onset,10,0,0,0,
A,google/gemma-2-9b-it+dpo-A,easy__accurate__neutral,measured,10,0,0,0,
A,google/gemma-2-9b-it+dpo-A,easy__accurate__neutral,onset,10,0,0,0,
A,google/gemma-2-9b-it+dpo-A,easy__malfunctioning_always_fail__hostile,measured,10,0,0,0,
A,google/gemma-2-9b-it+dpo-A,easy__malfunctioning_always_fail__neutral,measured,10,0,0,0,
A,google/gemma-2-9b-it+dpo-A,hard__accurate__hostile,measured,10,0,0,0,
A,google/gemma-2-9b-it+dpo-A,hard__accurate__hostile,onset,10,1,1,1,1.0
A,google/gemma-2-9b-it+dpo-A,hard__accurate__neutral,measured,10,0,0,0,
A,google/gemma-2-9b-it+dpo-A,hard__accurate__neutral,onset,10,0,0,0,
A,google/gemma-2-9b-it+dpo-A,hard__malfunctioning_always_fail__hostile,measured,10,0,0,0,
A,google/gemma-2-9b-it+dpo-A,hard__malfunctioning_always_fail__neutral,measured,10,0,0,0,
B,google/gemma-2-9b-it+dpo-B,easy__accurate__hostile,measured,10,1,1,1,1.0
B,google/gemma-2-9b-it+dpo-B,easy__accurate__hostile,onset,10,5,5,5,1.0
B,google/gemma-2-9b-it+dpo-B,easy__accurate__neutral,measured,10,0,0,0,
B,google/gemma-2-9b-it+dpo-B,easy__accurate__neutral,onset,10,0,0,0,
B,google/gemma-2-9b-it+dpo-B,easy__malfunctioning_always_fail__hostile,measured,10,0,0,0,
B,google/gemma-2-9b-it+dpo-B,easy__malfunctioning_always_fail__neutral,measured,10,0,0,0,
B,google/gemma-2-9b-it+dpo-B,hard__accurate__hostile,measured,10,0,0,0,
B,google/gemma-2-9b-it+dpo-B,hard__accurate__hostile,onset,10,6,6,6,1.0
B,google/gemma-2-9b-it+dpo-B,hard__accurate__neutral,measured,10,0,0,0,
B,google/gemma-2-9b-it+dpo-B,hard__accurate__neutral,onset,10,0,0,0,
B,google/gemma-2-9b-it+dpo-B,hard__malfunctioning_always_fail__hostile,measured,10,0,0,0,
B,google/gemma-2-9b-it+dpo-B,hard__malfunctioning_always_fail__neutral,measured,10,0,0,0,
